# KAGRAplusCombined
# freq[Hz] htotal[/rtHz]
8.0520e+01 2.4606e-24
8.1266e+01 2.4349e-24
8.2019e+01 2.4098e-24
8.2779e+01 2.3853e-24
8.3545e+01 2.3615e-24
8.4319e+01 2.3382e-24
8.5100e+01 2.3156e-24
8.5888e+01 2.2935e-24
8.6684e+01 2.2720e-24
8.7487e+01 2.2510e-24
8.8297e+01 2.2305e-24
8.9115e+01 2.2105e-24
8.9940e+01 2.1911e-24
9.0773e+01 2.1721e-24
9.1614e+01 2.1536e-24
9.2463e+01 2.1356e-24
9.3319e+01 2.1180e-24
9.4183e+01 2.1008e-24
9.5056e+01 2.0841e-24
9.5936e+01 2.0678e-24
9.6825e+01 2.0519e-24
9.7721e+01 2.0364e-24
9.8627e+01 2.0212e-24
9.9540e+01 2.0064e-24
1.0046e+02 1.9920e-24
1.0139e+02 1.9779e-24
1.0233e+02 1.9642e-24
1.0328e+02 1.9508e-24
1.0424e+02 1.9377e-24
1.0520e+02 1.9249e-24
1.0618e+02 1.9124e-24
1.0716e+02 1.9002e-24
1.0815e+02 1.8883e-24
1.0915e+02 1.8767e-24
1.1016e+02 1.8653e-24
1.1118e+02 1.8542e-24
1.1221e+02 1.8434e-24
1.1325e+02 1.8328e-24
1.1430e+02 1.8224e-24
1.1536e+02 1.8122e-24
1.1643e+02 1.8023e-24
1.1751e+02 1.7926e-24
1.1860e+02 1.7831e-24
1.1970e+02 1.7738e-24
1.2080e+02 1.7647e-24
1.2192e+02 1.7558e-24
1.2305e+02 1.7471e-24
1.2419e+02 1.7386e-24
1.2534e+02 1.7302e-24
1.2650e+02 1.7220e-24
1.2768e+02 1.7140e-24
1.2886e+02 1.7061e-24
1.3005e+02 1.6984e-24
1.3126e+02 1.6908e-24
1.3247e+02 1.6834e-24
1.3370e+02 1.6762e-24
1.3494e+02 1.6690e-24
1.3619e+02 1.6620e-24
1.3745e+02 1.6552e-24
1.3872e+02 1.6484e-24
1.4001e+02 1.6418e-24
1.4130e+02 1.6353e-24
1.4261e+02 1.6289e-24
1.4393e+02 1.6227e-24
1.4527e+02 1.6166e-24
1.4661e+02 1.6105e-24
1.4797e+02 1.6046e-24
1.4934e+02 1.5988e-24
1.5072e+02 1.5931e-24
1.5212e+02 1.5875e-24
1.5353e+02 1.5819e-24
1.5495e+02 1.5765e-24
1.5638e+02 1.5712e-24
1.5783e+02 1.5660e-24
1.5930e+02 1.5609e-24
1.6077e+02 1.5558e-24
1.6226e+02 1.5509e-24
1.6376e+02 1.5460e-24
1.6528e+02 1.5413e-24
1.6681e+02 1.5366e-24
1.6836e+02 1.5320e-24
1.6991e+02 1.5275e-24
1.7149e+02 1.5230e-24
1.7308e+02 1.5187e-24
1.7468e+02 1.5144e-24
1.7630e+02 1.5103e-24
1.7793e+02 1.5062e-24
1.7958e+02 1.5022e-24
1.8124e+02 1.4983e-24
1.8292e+02 1.4944e-24
1.8461e+02 1.4907e-24
1.8632e+02 1.4870e-24
1.8805e+02 1.4834e-24
1.8979e+02 1.4799e-24
1.9155e+02 1.4765e-24
1.9332e+02 1.4732e-24
1.9511e+02 1.4700e-24
1.9692e+02 1.4668e-24
1.9875e+02 1.4638e-24
2.0059e+02 1.4608e-24
2.0244e+02 1.4579e-24
2.0432e+02 1.4551e-24
2.0621e+02 1.4524e-24
2.0812e+02 1.4499e-24
2.1005e+02 1.4474e-24
2.1200e+02 1.4450e-24
2.1396e+02 1.4427e-24
2.1594e+02 1.4405e-24
2.1794e+02 1.4384e-24
2.1996e+02 1.4365e-24
2.2200e+02 1.4346e-24
2.2405e+02 1.4329e-24
2.2613e+02 1.4313e-24
2.2822e+02 1.4299e-24
2.3034e+02 1.4286e-24
2.3247e+02 1.4277e-24
2.3462e+02 1.4269e-24
2.3680e+02 1.4266e-24
2.3899e+02 1.4265e-24
2.4120e+02 1.4268e-24
2.4344e+02 1.4274e-24
2.4569e+02 1.4283e-24
2.4797e+02 1.4294e-24
2.5026e+02 1.4308e-24
2.5258e+02 1.4324e-24
2.5492e+02 1.4341e-24
2.5728e+02 1.4360e-24
2.5967e+02 1.4380e-24
2.6207e+02 1.4400e-24
2.6450e+02 1.4421e-24
2.6695e+02 1.4442e-24
2.6942e+02 1.4464e-24
2.7192e+02 1.4486e-24
2.7443e+02 1.4508e-24
2.7698e+02 1.4530e-24
2.7954e+02 1.4552e-24
2.8213e+02 1.4575e-24
2.8474e+02 1.4597e-24
2.8738e+02 1.4620e-24
2.9004e+02 1.4643e-24
2.9273e+02 1.4665e-24
2.9544e+02 1.4688e-24
2.9818e+02 1.4710e-24
3.0094e+02 1.4733e-24
3.0373e+02 1.4756e-24
3.0654e+02 1.4779e-24
3.0938e+02 1.4802e-24
3.1224e+02 1.4825e-24
3.1514e+02 1.4847e-24
3.1806e+02 1.4870e-24
3.2100e+02 1.4893e-24
3.2397e+02 1.4916e-24
3.2697e+02 1.4940e-24
3.3000e+02 1.4963e-24
3.3306e+02 1.4986e-24
3.3614e+02 1.5009e-24
3.3926e+02 1.5032e-24
3.4240e+02 1.5055e-24
3.4557e+02 1.5079e-24
3.4877e+02 1.5102e-24
3.5200e+02 1.5125e-24
3.5526e+02 1.5149e-24
3.5855e+02 1.5172e-24
3.6187e+02 1.5196e-24
3.6523e+02 1.5219e-24
3.6861e+02 1.5243e-24
3.7202e+02 1.5266e-24
3.7547e+02 1.5290e-24
3.7895e+02 1.5313e-24
3.8246e+02 1.5337e-24
3.8600e+02 1.5361e-24
3.8957e+02 1.5385e-24
3.9318e+02 1.5408e-24
3.9682e+02 1.5432e-24
4.0050e+02 1.5457e-24
4.0421e+02 1.5484e-24
4.0795e+02 1.5514e-24
4.1173e+02 1.5547e-24
4.1555e+02 1.5584e-24
4.1939e+02 1.5627e-24
4.2328e+02 1.5675e-24
4.2720e+02 1.5728e-24
4.3116e+02 1.5787e-24
4.3515e+02 1.5851e-24
4.3918e+02 1.5919e-24
4.4325e+02 1.5991e-24
4.4735e+02 1.6068e-24
4.5150e+02 1.6147e-24
4.5568e+02 1.6230e-24
4.5990e+02 1.6316e-24
4.6416e+02 1.6404e-24
4.6846e+02 1.6495e-24
4.7280e+02 1.6588e-24
4.7718e+02 1.6684e-24
4.8160e+02 1.6782e-24
4.8606e+02 1.6882e-24
4.9056e+02 1.6984e-24
4.9510e+02 1.7088e-24
4.9969e+02 1.7194e-24
5.0432e+02 1.7302e-24
5.0899e+02 1.7413e-24
5.1370e+02 1.7525e-24
5.1846e+02 1.7639e-24
5.2326e+02 1.7756e-24
5.2811e+02 1.7874e-24
5.3300e+02 1.7995e-24
5.3794e+02 1.8118e-24
5.4292e+02 1.8243e-24
5.4795e+02 1.8369e-24
5.5302e+02 1.8498e-24
5.5814e+02 1.8629e-24
5.6331e+02 1.8762e-24
5.6853e+02 1.8898e-24
5.7380e+02 1.9035e-24
5.7911e+02 1.9174e-24
5.8448e+02 1.9316e-24
5.8989e+02 1.9459e-24
5.9535e+02 1.9605e-24
6.0087e+02 1.9753e-24
6.0643e+02 1.9904e-24
6.1205e+02 2.0058e-24
6.1772e+02 2.0215e-24
6.2344e+02 2.0376e-24
6.2921e+02 2.0540e-24
6.3504e+02 2.0708e-24
6.4092e+02 2.0880e-24
6.4686e+02 2.1055e-24
6.5285e+02 2.1234e-24
6.5890e+02 2.1416e-24
6.6500e+02 2.1601e-24
6.7116e+02 2.1788e-24
6.7738e+02 2.1978e-24
6.8365e+02 2.2171e-24
6.8998e+02 2.2365e-24
6.9637e+02 2.2562e-24
7.0282e+02 2.2761e-24
7.0933e+02 2.2961e-24
7.1590e+02 2.3164e-24
7.2253e+02 2.3368e-24
7.2923e+02 2.3575e-24
7.3598e+02 2.3783e-24
7.4280e+02 2.3993e-24
7.4968e+02 2.4205e-24
7.5662e+02 2.4419e-24
7.6363e+02 2.4635e-24
7.7070e+02 2.4853e-24
7.7784e+02 2.5072e-24
7.8505e+02 2.5294e-24
7.9232e+02 2.5517e-24
7.9966e+02 2.5743e-24
8.0706e+02 2.5970e-24
8.1454e+02 2.6200e-24
8.2208e+02 2.6431e-24
8.2970e+02 2.6665e-24
8.3738e+02 2.6901e-24
8.4514e+02 2.7138e-24
8.5296e+02 2.7378e-24
8.6086e+02 2.7620e-24
8.6884e+02 2.7864e-24
8.7689e+02 2.8110e-24
8.8501e+02 2.8359e-24
8.9320e+02 2.8609e-24
9.0148e+02 2.8862e-24
9.0983e+02 2.9117e-24
9.1825e+02 2.9375e-24
9.2676e+02 2.9634e-24
9.3534e+02 2.9896e-24
9.4401e+02 3.0160e-24
9.5275e+02 3.0427e-24
9.6157e+02 3.0696e-24
9.7048e+02 3.0967e-24
9.7947e+02 3.1241e-24
9.8854e+02 3.1517e-24
9.9770e+02 3.1795e-24
1.0069e+03 3.2076e-24
1.0163e+03 3.2360e-24
1.0257e+03 3.2644e-24
1.0352e+03 3.2928e-24
1.0448e+03 3.3211e-24
1.0544e+03 3.3492e-24
1.0642e+03 3.3770e-24
1.0741e+03 3.4046e-24
1.0840e+03 3.4322e-24
1.0941e+03 3.4600e-24
1.1042e+03 3.4882e-24
1.1144e+03 3.5168e-24
1.1247e+03 3.5461e-24
1.1352e+03 3.5760e-24
1.1457e+03 3.6067e-24
1.1563e+03 3.6380e-24
1.1670e+03 3.6700e-24
1.1778e+03 3.7027e-24
1.1887e+03 3.7360e-24
1.1997e+03 3.7699e-24
1.2108e+03 3.8044e-24
1.2220e+03 3.8394e-24
1.2334e+03 3.8749e-24
1.2448e+03 3.9109e-24
1.2563e+03 3.9473e-24
1.2680e+03 3.9842e-24
1.2797e+03 4.0215e-24
1.2915e+03 4.0592e-24
1.3035e+03 4.0973e-24
1.3156e+03 4.1357e-24
1.3278e+03 4.1746e-24
1.3401e+03 4.2138e-24
1.3525e+03 4.2534e-24
1.3650e+03 4.2934e-24
1.3777e+03 4.3338e-24
1.3904e+03 4.3746e-24
1.4033e+03 4.4157e-24
1.4163e+03 4.4572e-24
1.4294e+03 4.4991e-24
1.4426e+03 4.5415e-24
1.4560e+03 4.5842e-24
1.4695e+03 4.6273e-24
1.4831e+03 4.6708e-24
1.4968e+03 4.7148e-24
1.5107e+03 4.7591e-24
1.5247e+03 4.8039e-24
1.5388e+03 4.8490e-24
1.5531e+03 4.8947e-24
1.5675e+03 4.9407e-24
1.5820e+03 4.9872e-24
1.5966e+03 5.0341e-24
1.6114e+03 5.0814e-24
1.6263e+03 5.1292e-24
1.6414e+03 5.1775e-24
1.6566e+03 5.2262e-24
1.6719e+03 5.2753e-24
1.6874e+03 5.3249e-24
1.7031e+03 5.3750e-24
1.7188e+03 5.4256e-24
1.7348e+03 5.4766e-24
1.7508e+03 5.5281e-24
1.7670e+03 5.5801e-24
1.7834e+03 5.6326e-24
1.7999e+03 5.6856e-24
1.8166e+03 5.7391e-24
1.8334e+03 5.7930e-24
1.8504e+03 5.8475e-24
1.8675e+03 5.9025e-24
1.8848e+03 5.9580e-24
1.9023e+03 6.0141e-24
1.9199e+03 6.0707e-24
1.9377e+03 6.1277e-24
1.9557e+03 6.1850e-24
1.9738e+03 6.2423e-24
1.9920e+03 6.2994e-24
2.0105e+03 6.3558e-24
2.0291e+03 6.4117e-24
2.0479e+03 6.4671e-24
2.0669e+03 6.5223e-24
2.0860e+03 6.5775e-24
2.1053e+03 6.6332e-24
2.1248e+03 6.6897e-24
2.1445e+03 6.7471e-24
2.1644e+03 6.8055e-24
2.1844e+03 6.8652e-24
2.2047e+03 6.9260e-24
2.2251e+03 6.9880e-24
2.2457e+03 7.0510e-24
2.2665e+03 7.1150e-24
2.2875e+03 7.1800e-24
2.3087e+03 7.2458e-24
2.3301e+03 7.3125e-24
2.3516e+03 7.3800e-24
2.3734e+03 7.4481e-24
2.3954e+03 7.5171e-24
2.4176e+03 7.5867e-24
2.4400e+03 7.6570e-24
2.4626e+03 7.7280e-24
2.4854e+03 7.7998e-24
2.5084e+03 7.8723e-24
2.5316e+03 7.9456e-24
2.5551e+03 8.0195e-24
2.5788e+03 8.0941e-24
2.6026e+03 8.1693e-24
2.6268e+03 8.2452e-24
2.6511e+03 8.3217e-24
2.6756e+03 8.3988e-24
2.7004e+03 8.4766e-24
2.7254e+03 8.5551e-24
2.7507e+03 8.6343e-24
2.7762e+03 8.7143e-24
2.8019e+03 8.7950e-24
2.8278e+03 8.8765e-24
2.8540e+03 8.9588e-24
2.8804e+03 9.0418e-24
2.9071e+03 9.1256e-24
2.9340e+03 9.2102e-24
