# O4 Sensitivity 0.3excess-PR-50WatBS-300K-PessimisticLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
4.8380e+00 2.3395e-15 2.3395e-15 2.0310e-19 1.7230e-22 8.4144e-22 1.6039e-21
4.8830e+00 2.2131e-15 2.2131e-15 1.9870e-19 1.7070e-22 8.2545e-22 1.5628e-21
4.9280e+00 2.0946e-15 2.0946e-15 1.9450e-19 1.6920e-22 8.0976e-22 1.5232e-21
4.9740e+00 1.9810e-15 1.9810e-15 1.9040e-19 1.6770e-22 7.9435e-22 1.4841e-21
5.0200e+00 1.8746e-15 1.8746e-15 1.8630e-19 1.6620e-22 7.7922e-22 1.4463e-21
5.0660e+00 1.7747e-15 1.7747e-15 1.8230e-19 1.6470e-22 7.6438e-22 1.4098e-21
5.1130e+00 1.6791e-15 1.6791e-15 1.7850e-19 1.6330e-22 7.4980e-22 1.3739e-21
5.1610e+00 1.5875e-15 1.5875e-15 1.7470e-19 1.6180e-22 7.3549e-22 1.3384e-21
5.2090e+00 1.5017e-15 1.5017e-15 1.7100e-19 1.6040e-22 7.2145e-22 1.3041e-21
5.2570e+00 1.4213e-15 1.4213e-15 1.6730e-19 1.5900e-22 7.0766e-22 1.2711e-21
5.3050e+00 1.3459e-15 1.3459e-15 1.6380e-19 1.5750e-22 6.9413e-22 1.2391e-21
5.3550e+00 1.2722e-15 1.2722e-15 1.6030e-19 1.5610e-22 6.8085e-22 1.2070e-21
5.4040e+00 1.2046e-15 1.2046e-15 1.5690e-19 1.5470e-22 6.6781e-22 1.1766e-21
5.4540e+00 1.1398e-15 1.1398e-15 1.5360e-19 1.5340e-22 6.5501e-22 1.1467e-21
5.5050e+00 1.0779e-15 1.0779e-15 1.5040e-19 1.5200e-22 6.4245e-22 1.1172e-21
5.5560e+00 1.0199e-15 1.0199e-15 1.4720e-19 1.5070e-22 6.3011e-22 1.0887e-21
5.6070e+00 9.6547e-16 9.6547e-16 1.4410e-19 1.4930e-22 6.1801e-22 1.0612e-21
5.6590e+00 9.1345e-16 9.1345e-16 1.4100e-19 1.4800e-22 6.0612e-22 1.0341e-21
5.7120e+00 8.6376e-16 8.6376e-16 1.3800e-19 1.4670e-22 5.9446e-22 1.0075e-21
5.7640e+00 8.1805e-16 8.1805e-16 1.3510e-19 1.4540e-22 5.8301e-22 9.8226e-22
5.8180e+00 7.7353e-16 7.7353e-16 1.3230e-19 1.4410e-22 5.7177e-22 9.5695e-22
5.8720e+00 7.3182e-16 7.3182e-16 1.2950e-19 1.4280e-22 5.6074e-22 9.3251e-22
5.9260e+00 6.9271e-16 6.9271e-16 1.2670e-19 1.4150e-22 5.4991e-22 9.0892e-22
5.9810e+00 6.5536e-16 6.5536e-16 1.2410e-19 1.4030e-22 5.3929e-22 8.8571e-22
6.0360e+00 6.2033e-16 6.2033e-16 1.2140e-19 1.3900e-22 5.2885e-22 8.6330e-22
6.0920e+00 5.8690e-16 5.8690e-16 1.1890e-19 1.3780e-22 5.1861e-22 8.4127e-22
6.1490e+00 5.5500e-16 5.5500e-16 1.1640e-19 1.3660e-22 5.0856e-22 8.1962e-22
6.2060e+00 5.2511e-16 5.2511e-16 1.1390e-19 1.3540e-22 4.9870e-22 7.9872e-22
6.2630e+00 4.9708e-16 4.9708e-16 1.1150e-19 1.3420e-22 4.8902e-22 7.7854e-22
6.3210e+00 4.7033e-16 4.7033e-16 1.0910e-19 1.3300e-22 4.7951e-22 7.5871e-22
6.3800e+00 4.4483e-16 4.4483e-16 1.0680e-19 1.3180e-22 4.7018e-22 7.3923e-22
6.4390e+00 4.2093e-16 4.2093e-16 1.0460e-19 1.3060e-22 4.6103e-22 7.2042e-22
6.4980e+00 3.9851e-16 3.9851e-16 1.0240e-19 1.2950e-22 4.5204e-22 7.0226e-22
6.5590e+00 3.7679e-16 3.7679e-16 1.0020e-19 1.2830e-22 4.4322e-22 6.8413e-22
6.6190e+00 3.5675e-16 3.5675e-16 9.8070e-20 1.2720e-22 4.3457e-22 6.6692e-22
6.6810e+00 3.3734e-16 3.3734e-16 9.5990e-20 1.2600e-22 4.2607e-22 6.4974e-22
6.7430e+00 3.1916e-16 3.1916e-16 9.3960e-20 1.2490e-22 4.1773e-22 6.3315e-22
6.8050e+00 3.0210e-16 3.0210e-16 9.1970e-20 1.2380e-22 4.0955e-22 6.1714e-22
6.8680e+00 2.8585e-16 2.8585e-16 9.0010e-20 1.2270e-22 4.0151e-22 6.0142e-22
6.9320e+00 2.7038e-16 2.7038e-16 8.8100e-20 1.2160e-22 3.9363e-22 5.8601e-22
6.9960e+00 2.5587e-16 2.5587e-16 8.6230e-20 1.2060e-22 3.8589e-22 5.7113e-22
7.0610e+00 2.4206e-16 2.4206e-16 8.4400e-20 1.1950e-22 3.7830e-22 5.5654e-22
7.1260e+00 2.2911e-16 2.2911e-16 8.2600e-20 1.1840e-22 3.7085e-22 5.4245e-22
7.1920e+00 2.1678e-16 2.1678e-16 8.0850e-20 1.1740e-22 3.6353e-22 5.2863e-22
7.2590e+00 2.0505e-16 2.0505e-16 7.9120e-20 1.1640e-22 3.5636e-22 5.1509e-22
7.3260e+00 1.9405e-16 1.9405e-16 7.7440e-20 1.1530e-22 3.4931e-22 5.0202e-22
7.3940e+00 1.8359e-16 1.8359e-16 7.5790e-20 1.1430e-22 3.4240e-22 4.8920e-22
7.4620e+00 1.7378e-16 1.7378e-16 7.4170e-20 1.1330e-22 3.3561e-22 4.7683e-22
7.5310e+00 1.6444e-16 1.6444e-16 7.2580e-20 1.1230e-22 3.2896e-22 4.6471e-22
7.6010e+00 1.5556e-16 1.5556e-16 7.1030e-20 1.1130e-22 3.2242e-22 4.5283e-22
7.6720e+00 1.4712e-16 1.4712e-16 6.9510e-20 1.1030e-22 3.1601e-22 4.4120e-22
7.7430e+00 1.3921e-16 1.3921e-16 6.8020e-20 1.0930e-22 3.0972e-22 4.2998e-22
7.8140e+00 1.3179e-16 1.3179e-16 6.6560e-20 1.0840e-22 3.0355e-22 4.1913e-22
7.8870e+00 1.2464e-16 1.2464e-16 6.5130e-20 1.0740e-22 2.9749e-22 4.0837e-22
7.9600e+00 1.1794e-16 1.1794e-16 6.3730e-20 1.0650e-22 2.9154e-22 3.9798e-22
8.0340e+00 1.1157e-16 1.1157e-16 6.2360e-20 1.0550e-22 2.8571e-22 3.8781e-22
8.1080e+00 1.0559e-16 1.0559e-16 6.1020e-20 1.0460e-22 2.7998e-22 3.7799e-22
8.1830e+00 9.9919e-17 9.9919e-17 5.9710e-20 1.0370e-22 2.7436e-22 3.6838e-22
8.2590e+00 9.4527e-17 9.4527e-17 5.8420e-20 1.0280e-22 2.6885e-22 3.5898e-22
8.3350e+00 8.9472e-17 8.9472e-17 5.7160e-20 1.0190e-22 2.6344e-22 3.4990e-22
8.4120e+00 8.4669e-17 8.4669e-17 5.5920e-20 1.0100e-22 2.5814e-22 3.4101e-22
8.4900e+00 8.0108e-17 8.0108e-17 5.4710e-20 1.0010e-22 2.5293e-22 3.3233e-22
8.5690e+00 7.5778e-17 7.5778e-17 5.3520e-20 9.9200e-23 2.4782e-22 3.2383e-22
8.6480e+00 7.1718e-17 7.1718e-17 5.2360e-20 9.8330e-23 2.4281e-22 3.1563e-22
8.7290e+00 6.7816e-17 6.7816e-17 5.1220e-20 9.7470e-23 2.3789e-22 3.0750e-22
8.8090e+00 6.4204e-17 6.4204e-17 5.0110e-20 9.6610e-23 2.3306e-22 2.9976e-22
8.8910e+00 6.0732e-17 6.0732e-17 4.9020e-20 9.5760e-23 2.2833e-22 2.9210e-22
8.9730e+00 5.7477e-17 5.7477e-17 4.7950e-20 9.4920e-23 2.2368e-22 2.8470e-22
9.0560e+00 5.4388e-17 5.4388e-17 4.6900e-20 9.4090e-23 2.1913e-22 2.7746e-22
9.1400e+00 5.1457e-17 5.1457e-17 4.5880e-20 9.3260e-23 2.1466e-22 2.7040e-22
9.2250e+00 4.8677e-17 4.8677e-17 4.4870e-20 9.2440e-23 2.1027e-22 2.6349e-22
9.3100e+00 4.6071e-17 4.6071e-17 4.3890e-20 9.1630e-23 2.0597e-22 2.5683e-22
